row_id,zip,week,week_start_date,week_end_date,absolute_week,tests,cases,deaths,population
60634-2021-3,60634.0,3,2021-01-17,2021-01-23,46.0,2422.0,208.0,4.0,75995
60628-2021-43,60628.0,43,2021-10-24,2021-10-30,86.0,3337.0,59.0,2.0,66724
60628-2021-44,60628.0,44,2021-10-31,2021-11-06,87.0,3412.0,69.0,1.0,66724
60628-2021-45,60628.0,45,2021-11-07,2021-11-13,88.0,3641.0,98.0,1.0,66724
60628-2021-46,60628.0,46,2021-11-14,2021-11-20,89.0,4060.0,114.0,2.0,66724
60628-2021-48,60628.0,48,2021-11-28,2021-12-04,91.0,4526.0,197.0,2.0,66724
60628-2021-49,60628.0,49,2021-12-05,2021-12-11,92.0,4339.0,207.0,4.0,66724
60628-2021-5,60628.0,5,2021-01-31,2021-02-06,48.0,1429.0,53.0,3.0,66724
60628-2021-50,60628.0,50,2021-12-12,2021-12-18,93.0,5444.0,561.0,5.0,66724
60628-2021-8,60628.0,8,2021-02-21,2021-02-27,51.0,1465.0,42.0,1.0,66724
60615-2021-28,60615.0,28,2021-07-11,2021-07-17,71.0,719.0,8.0,0.0,41563
60615-2021-29,60615.0,29,2021-07-18,2021-07-24,72.0,899.0,23.0,0.0,41563
60615-2021-3,60615.0,3,2021-01-17,2021-01-23,46.0,2260.0,38.0,0.0,41563
60615-2021-30,60615.0,30,2021-07-25,2021-07-31,73.0,1047.0,37.0,1.0,41563
60615-2021-31,60615.0,31,2021-08-01,2021-08-07,74.0,1320.0,41.0,0.0,41563
60615-2021-32,60615.0,32,2021-08-08,2021-08-14,75.0,1301.0,41.0,0.0,41563
60615-2021-33,60615.0,33,2021-08-15,2021-08-21,76.0,1300.0,38.0,0.0,41563
60615-2021-34,60615.0,34,2021-08-22,2021-08-28,77.0,1418.0,52.0,0.0,41563
60615-2021-35,60615.0,35,2021-08-29,2021-09-04,78.0,1263.0,57.0,0.0,41563
60615-2021-36,60615.0,36,2021-09-05,2021-09-11,79.0,1342.0,42.0,0.0,41563
60615-2021-37,60615.0,37,2021-09-12,2021-09-18,80.0,1806.0,48.0,0.0,41563
60615-2021-38,60615.0,38,2021-09-19,2021-09-25,81.0,1834.0,39.0,0.0,41563
60629-2020-30,60629.0,30,2020-07-19,2020-07-25,20.0,1410.0,99.0,2.0,111850
60630-2021-20,60630.0,20,2021-05-16,2021-05-22,63.0,1094.0,27.0,0.0,57344
60634-2021-33,60634.0,33,2021-08-15,2021-08-21,76.0,2861.0,110.0,0.0,75995
60634-2021-34,60634.0,34,2021-08-22,2021-08-28,77.0,2523.0,126.0,1.0,75995
60633-2020-11,60633.0,11,2020-03-08,2020-03-14,1.0,0.0,,0.0,12871
60615-2021-7,60615.0,7,2021-02-14,2021-02-20,50.0,1885.0,19.0,1.0,41563
60615-2021-8,60615.0,8,2021-02-21,2021-02-27,51.0,2304.0,18.0,1.0,41563
60615-2021-9,60615.0,9,2021-02-28,2021-03-06,52.0,2291.0,11.0,0.0,41563
60616-2020-34,60616.0,34,2020-08-16,2020-08-22,24.0,1106.0,40.0,1.0,54464
60616-2020-35,60616.0,35,2020-08-23,2020-08-29,25.0,1115.0,32.0,0.0,54464
